criterion,thr0,thr1,n_total,n_ok,n_fail,accuracy,exit0_pct,exit1_pct,offload_pct,final_pct,client_rtt_avg,client_rtt_p95,total_edge_avg,total_edge_p95,edge_infer_avg,edge_infer_p95,edge_cloud_rtt_avg,edge_cloud_rtt_p95,cloud_compute_avg,cloud_compute_p95,total_cloud_avg,total_cloud_p95,edge_energy_kwh,edge_co2_kg,cloud_energy_kwh,cloud_co2_kg
margin,0.45,0.75,1000,1000,1000,0.873,65.2,5.3,29.5,0.0,330.3534142188655,523.3227716489637,279.9462213902734,465.90167216490954,211.2897153296508,251.7778503941372,194.487900050136,224.35211087577045,5.855681694909867,9.658029996353434,,,0.0005722636692969574,0.00019260907222995417,0.014360950098332577,0.004833522418396189
margin,0.45,0.85,1000,1000,1000,0.873,65.2,2.1,32.7,0.0,355.98878132295795,574.8374948034325,292.6443563159555,501.53115938883263,212.7403897359036,252.9010898899287,208.61046018637148,327.8653208166361,6.002931498429511,9.639850001985906,,,0.0006160052123949431,0.0002073313383566156,0.016193053454999128,0.005450160773562877
margin,0.45,0.92,1000,1000,1000,0.873,65.2,0.4,34.4,0.0,339.16025774500304,517.6657614028954,287.8097971160896,461.6906824987381,211.65624713618308,252.7550676604733,187.93931101221418,210.69970210082826,5.996651453685001,9.675930000594235,,,0.0005762657401277515,0.00019395606521775785,0.01468944775611049,0.004944086189065133
margin,0.45,0.97,1000,1000,1000,0.873,65.2,0.0,34.8,0.0,346.589320736035,527.6800980009284,290.0208446122706,467.5046777818351,211.47320991009474,253.88514280784872,192.5857334943681,283.21141786873335,6.452851724249228,10.31355999839434,,,0.0005940546770735251,0.00019994335888134465,0.015375701288610167,0.005175061285512679
margin,0.6,0.6,1000,1000,1000,0.893,52.800000000000004,17.8,29.4,0.0,355.13629965004657,527.5945486504497,303.76538944011554,472.9618066456169,218.1899076309055,255.39081990718842,252.7766784029018,278.2458312576634,8.25926020402809,11.12470000371104,,,0.0006061028046123183,0.00020399844535958642,0.015229599485834317,0.0051258872173452
margin,0.6,0.75,1000,1000,1000,0.888,52.800000000000004,11.0,36.199999999999996,0.0,352.37753261411126,525.7909204974567,302.2484600576572,471.33924467489123,219.26565563073382,258.2621733658016,197.96223246147702,219.78727898094803,8.309385635674923,11.254335001649451,,,0.000598833844597372,0.0002015519024115159,0.01502899604777799,0.00505836931578483
margin,0.6,0.85,1000,1000,1000,0.887,52.800000000000004,4.2,43.0,0.0,363.8502994840892,525.6235479955649,313.3777637076564,469.12641779053956,218.96712841233239,255.75335307512432,192.62514325551862,213.20770173333585,8.548760930479634,11.150539997106534,,,0.0006025844493707345,0.00020281425846250563,0.015509766142222405,0.005220184029552364
margin,0.6,0.97,1000,1000,1000,0.887,52.800000000000004,0.1,47.099999999999994,0.0,433.60030604089843,544.8318773018399,379.41350862104446,485.1162172621116,217.3815825167112,252.01430364977568,318.7338258841741,1191.0718253348023,117.83492526547656,1008.8147000024037,,,0.0006806922362264341,0.00022910330871567586,,
margin,0.6,0.92,1000,1000,1001,0.887,52.800000000000004,1.0999999999999999,46.1,0.0,461.4232074181491,642.2093418012059,406.59996816748753,569.1634256858374,218.93811292154714,255.8469311101362,381.6997557040102,1211.4924029447138,158.14879197403377,1015.2406000051997,,,,,,
margin,0.75,0.75,1000,1000,1285,0.903,40.8,18.6,40.6,0.0,442.19403510709526,1494.5316422043104,384.0837565427646,1437.209280626848,224.32015089225024,254.8566362587735,363.80305915057033,1222.4307380383834,176.71876527126227,1015.8038249992387,,,,,,
margin,0.75,0.85,1000,1000,1502,0.902,40.8,9.0,50.2,0.0,368.52748869812785,500.35715070844157,311.30156163452193,438.4546775370836,224.9770321776159,255.66091595683247,147.05626820158437,197.4525418831035,8.401581474395044,11.135795004520332,,,,,,
margin,0.75,0.92,1000,1000,1559,0.902,40.8,3.3000000000000003,55.900000000000006,0.0,384.6750575836413,498.0270860476594,324.11080747749656,437.363072973676,221.26624638587236,252.00420035980642,161.13533316619947,181.1072774231434,9.21394150229425,11.195570004929323,,,,,,
margin,0.75,0.97,1000,1000,1589,0.902,40.8,0.3,58.9,0.0,411.2468323431531,626.4774643619603,349.2592859743163,527.4380278773606,220.53171273414046,252.18520786147565,196.63977131867347,300.93248710036283,8.93325840391504,11.166999995475635,,,,,,
margin,0.85,0.92,1000,1000,1151,0.911,28.799999999999997,7.3999999999999995,63.800000000000004,0.0,418.41583602958417,529.9160669470439,362.6594116310589,468.39699221309274,229.52497016079724,252.42685982957482,189.24774619645575,214.5608393009752,8.877091222495785,11.44200500275474,,,,,,
margin,0.85,0.85,1000,1000,1549,0.911,28.799999999999997,16.400000000000002,54.800000000000004,0.0,407.1021703351871,539.4722188524611,345.364069793839,474.6137300739065,227.38692012196407,253.94380337093025,191.2396454862421,228.90907283872363,8.954140693641838,11.167670000577345,,,,,,
margin,0.85,0.97,1000,1000,1442,0.911,28.799999999999997,1.4000000000000001,69.8,0.0,429.3725466748292,532.9829775968392,368.04467200068757,467.2831455478444,231.09532027039677,254.65304267127067,178.2861662965887,212.81837800052017,7.974947850777131,11.02750500140246,,,,,,
entropy,1.5,1.0,1000,1000,2000,0.807,91.2,1.2,7.6,0.0,272.67375623292173,493.098058293981,221.68737520370632,441.5411389665678,195.91185710718855,242.71834075916559,197.0182134965925,255.35069464240223,8.168271052119579,11.345300004904857,,,0.0005122113884474714,0.00017239703585531925,0.011876366972500264,0.003997276337402304
entropy,1.5,0.8,1000,1000,2000,0.807,91.2,0.5,8.3,0.0,276.9261448920297,494.71508183851256,224.54539048625156,443.70976872742176,197.27999529475346,242.24635020364076,196.61886293822562,219.69317602924997,8.263624096163044,11.134310005581938,,,0.0005132290186757197,0.00017273954373176172,0.012079216974168068,0.004065550373863643
entropy,1.5,0.6,1000,1000,2000,0.806,91.2,0.1,8.7,0.0,281.1660818841483,496.9953085499582,225.479368602857,440.5048140091821,197.37962006498128,241.99898238293827,197.20389277556504,246.91617796197534,8.314455172579585,10.94919000606751,,,0.00053955406814199,0.00018159987093082218,0.013260272688888939,0.0044630630199901065
entropy,1.5,0.4,1000,1000,2000,0.806,91.2,0.1,8.7,0.0,274.56008715702046,490.1289460111002,223.18466888787225,437.4641912057995,195.81963939359412,239.8565487936139,191.32246337723973,209.55931674689054,8.102728735358486,11.017409998748917,,,0.0005235697015955875,0.0001762199487448333,0.012407899412500858,0.0041761763368630645
entropy,1.5,0.3,1000,1000,2000,0.806,91.2,0.0,8.799999999999999,0.0,271.21411873199395,487.6681650057435,223.52805102057755,437.5477356370538,196.15364022459835,240.35323597490788,189.48201087980786,212.95595467090604,8.252328408409745,11.231400004180614,,,0.0005176729192886621,0.00017423524513666218,0.011827126514721667,0.003980703279565931
entropy,1.5,0.2,1000,1000,2000,0.806,91.2,0.0,8.799999999999999,0.0,273.2541381198971,489.10124025351246,224.07719708420336,437.014003819786,197.04929440049455,241.28183831926435,185.32917241100222,210.05286935251203,8.329168182006635,11.453240003902465,,,0.0005332357797309342,0.00017947329932715947,0.012692703449723682,0.004272033970887299
entropy,1.2,1.0,1000,1000,2000,0.847,78.2,5.5,16.3,0.0,300.64882074100024,503.7232185502944,244.14122900227085,445.9946574876085,202.9333885773085,247.05669528339058,183.47914930593018,208.01156680099666,8.46052392640514,11.556290008593352,,,0.000569197791122006,0.0001915771773490981,0.014519301679444716,0.004886819443457427
entropy,1.2,0.8,1000,1000,2000,0.847,78.2,2.6,19.2,0.0,297.59606236325635,506.6516166894871,249.94870113115758,453.4943603212014,202.80012542242184,247.1849435940385,188.32392038893886,210.6450016843155,8.221186457831209,11.205785001948243,,,0.000555955070217652,0.00018712002180343602,0.013144105579721755,0.004423964191389271
